Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 1.339759	Val Loss: 1.442993	Val Acc: 51
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 1.239646	Val Loss: 1.484950	Val Acc: 49
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.334447	Val Loss: 1.482021	Val Acc: 50
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 1.464332	Val Loss: 1.482392	Val Acc: 49
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.148163	Val Loss: 1.514466	Val Acc: 48
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 1.238213	Val Loss: 1.557036	Val Acc: 49
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.353383	Val Loss: 1.544481	Val Acc: 49
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 1.390192	Val Loss: 1.507221	Val Acc: 49
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.165435	Val Loss: 1.539580	Val Acc: 48
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 1.230516	Val Loss: 1.515157	Val Acc: 48
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.383605	Val Loss: 1.488482	Val Acc: 51
Train Epoch: 4 [17920/49000 (36%)]	Train Loss: 1.241422	Val Loss: 1.467455	Val Acc: 49
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.273753	Val Loss: 1.443764	Val Acc: 51
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 1.302189	Val Loss: 1.521350	Val Acc: 48
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.315026	Val Loss: 1.496370	Val Acc: 50
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 1.365437	Val Loss: 1.464604	Val Acc: 49
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.375939	Val Loss: 1.480865	Val Acc: 51
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 1.281173	Val Loss: 1.450074	Val Acc: 50
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.379379	Val Loss: 1.448610	Val Acc: 51
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 1.407387	Val Loss: 1.463484	Val Acc: 52
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.329992	Val Loss: 1.467456	Val Acc: 50
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 1.507456	Val Loss: 1.535077	Val Acc: 46
